group_id,team,level,path,n_repos,n_in_codacy,sec_issues,sec_critical,sec_medium,sec_minor,all_issues
group:workforce-lifecycle,Lifecycle,DOMAIN,Logistics / Rider / Workforce / Lifecycle,32,20,379,360,18,1,539
group:rider-recruitment,Rider Hiring,SQUAD,Logistics / Rider / Workforce / Lifecycle / Rider Hiring,12,6,141,141,0,0,201
group:rider-scheduling,Scheduling,SQUAD,Logistics / Rider / Workforce / Lifecycle / Scheduling,11,7,50,50,0,0,64
group:workforce-lifecycle-workforce-management,Workforce Management,SQUAD,Logistics / Rider / Workforce / Lifecycle / Workforce Management,9,7,188,169,18,1,274
group:payment-and-incentive,Payments & Incentives,DOMAIN,Logistics / Rider / Workforce / Payments & Incentives,24,14,334,326,8,0,448
group:rider-compliance,Compliance,SQUAD,Logistics / Rider / Workforce / Payments & Incentives / Compliance,5,3,12,12,0,0,63
group:rider-payments,Payments,SQUAD,Logistics / Rider / Workforce / Payments & Incentives / Payments,6,4,252,252,0,0,298
group:rider-rewards,Rewards,SQUAD,Logistics / Rider / Workforce / Payments & Incentives / Rewards,13,7,70,62,8,0,87
group:service-product-line,Service,PRODUCT-LINE,Logistics / Service,41,19,271,267,2,2,437
group:log-service-product-line-data-science,Data Science,TRIBE,Logistics / Service / Data Science,0,0,0,0,0,0,0
group:log-efficient-service,Efficient Service,TRIBE,Logistics / Service / Efficient Service,33,16,270,266,2,2,394
group:log-ai,AI,DOMAIN,Logistics / Service / Efficient Service / AI,4,2,18,18,0,0,38
group:log-ai-agents,AI Agents,SQUAD,Logistics / Service / Efficient Service / AI / AI Agents,3,1,0,0,0,0,20
group:log-1vu-agent-intelligence,Service Flows,SQUAD,Logistics / Service / Efficient Service / AI / Service Flows,2,1,18,18,0,0,18
group:log-actions,Actions,DOMAIN,Logistics / Service / Efficient Service / Actions,11,7,51,49,1,1,155
group:log-automation-optimisation,Automations,SQUAD,Logistics / Service / Efficient Service / Actions / Automations,4,1,0,0,0,0,2
group:compensation,Compensation,SQUAD,Logistics / Service / Efficient Service / Actions / Compensation,2,2,5,5,0,0,55
group:log-1vu-agent-resolution,OneView,SQUAD,Logistics / Service / Efficient Service / Actions / OneView,5,4,46,44,1,1,98
group:hero-care-platform,HeroCare Platform,DOMAIN,Logistics / Service / Efficient Service / HeroCare Platform,18,7,201,199,1,1,201
group:log-agent-quality,Agent Quality,SQUAD,Logistics / Service / Efficient Service / HeroCare Platform / Agent Quality,8,3,171,171,0,0,171
group:log-agent-workflows,Agent workflows,SQUAD,Logistics / Service / Efficient Service / HeroCare Platform / Agent workflows,10,4,30,28,1,1,30
group:log-service-experience,Experience,TRIBE,Logistics / Service / Experience,8,3,1,1,0,0,43
group:log-service-experience-experience,Experience,DOMAIN,Logistics / Service / Experience / Experience,8,3,1,1,0,0,43
group:communications-core,Communications,SQUAD,Logistics / Service / Experience / Experience / Communications,3,1,0,0,0,0,41
group:log-experience,HelpCenter,SQUAD,Logistics / Service / Experience / Experience / HelpCenter,5,2,1,1,0,0,2
group:log-cfx,HelpCenter CFX,SQUAD,Logistics / Service / Experience / Experience / HelpCenter CFX,0,0,0,0,0,0,0
group:log-self-service,Self Service,TRIBE,Logistics / Service / Self Service,0,0,0,0,0,0,0
